"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-01","6.04","0.00",,,,"38","18",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-02","6.71","0.00",,,,"50","16",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-03","6.26","0.00",,,,"55","31",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-04","6.04","0.00",,,,"58","27",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-05","4.92","0.00",,,,"66","35",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-06","6.26","0.00",,,,"45","25",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-07","5.82","0.16",,,,"39","22","    1","    1",,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-08","4.70","0.00",,,,"33","11",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-09","3.80","0.00",,,,"47","17",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-10","4.47","0.00",,,,"56","28",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-11","8.72","0.01",,,,"41","3","    1","    1",,,,,"    1",
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-12","6.49","0.00",,,,"40","-1",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-13","8.50","0.00",,,,"44","19",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-14","9.40","0.00",,,,"53","20",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-15","12.08","0.00",,,,"54","33",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-16","7.16","0.02",,,,"41","16","    1",,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-17","8.05","0.00",,,,"27","5","    1",,,,,,"    1",
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-18","10.07","0.00",,,,"45","14",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-19","7.61","0.00",,,,"60","33",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-20","9.17","0.00",,,,"53","34",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-21","16.55","0.00",,,,"64","34",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-22","14.54","0.00",,,,"45","26",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-23","8.28","0.00",,,,"48","25",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-24","4.70","0.00",,,,"35","22","    1",,,,,,"    1",
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-25","12.53","0.00",,,,"61","21",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-26","8.50","0.00",,,,"54","32",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-27","8.50","0.00",,,,"43","18","    1",,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-28","5.82","0.00",,,,"45","15",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-29","8.95","0.00",,,,"53","26",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-30","7.83","0.00",,,,"59","31",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-01-31","5.37","0.00",,,,"51","25",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-02-01","7.61","0.00",,,,"52","25",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-02-02","9.62","0.04",,,,"42","29","    1",,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-02-03","15.88","1.33",,,,"30","24","    1",,,,,,,"    1"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-02-04","5.14","0.01",,,,"30","11","    1",,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-02-05","4.03","0.00",,,,"35","5",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-02-06","6.26","0.00",,,,"33","11","    1",,,,,,"    1",
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-02-07","3.58","0.01",,,,"24","12","    1",,,,,,"    1",
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-02-08","3.80","0.00",,,,"43","9",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-02-09","5.59","0.00",,,,"41","20","    1",,,,,,"    1",
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-02-10","6.26","0.00",,,,"40","15","    1",,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-02-11","4.25","0.00",,,,"20","9","    1",,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-02-12","3.36","0.00",,,,"31","8","    1",,,,,,"    1",
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-02-13","4.92","0.00",,,,"38","24","    1",,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-02-14","5.37","0.00",,,,"47","19",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-02-15","4.92","0.00",,,,"33","17","    1",,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-02-16","5.82","0.00",,,,"44","16",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-02-17","6.04","0.00",,,,"43","16",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-02-18","6.93","0.00",,,,"40","14",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-02-19","7.61","0.00",,,,"48","27","    1",,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-02-20","11.18","0.00",,,,"37","25","    1",,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-02-21","9.84","0.00",,,,"46","21",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-02-22","9.84","0.00",,,,"57","38",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-02-23","11.41","0.30",,,,"48","13","    1","    1",,,,,"    1","    1"
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-02-24","8.95","0.00",,,,"34","10",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-02-25","14.54","0.00",,,,"57","21",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-02-26","10.51","0.00",,,,"39","20",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-02-27","22.82","0.00",,,,"44","25",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-02-29","8.50","0.00",,,,"53","24",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-03-01","10.74","0.00",,,,"40","24","    1",,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-03-02","5.82","0.00",,,,"32","17","    1",,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-03-03","15.43","0.00",,,,"44","16",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-03-04","11.63","0.00",,,,"60","32",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-03-05","11.86","0.00",,,,"66","32",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-03-06","15.88","0.00",,,,"70","39",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-03-07","6.71","0.00",,,,"49","26","    1",,,,,"    1",,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-03-08","4.03","0.00",,,,"45","22",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-03-09","8.05","0.00",,,,"58","24",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-03-10","15.21","0.00",,,,"62","33",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-03-11","10.51","0.00",,,,"62","34",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-03-12","9.62","0.00",,,,"66","45",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-03-13","11.18","0.00",,,,"72","35",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-03-14","8.72","0.00",,,,"71","36",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-03-15","7.83","0.00",,,,"69","35",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-03-16","6.49","0.00",,,,"73","40",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-03-17","13.65","0.00",,,,"72","40",,,,,,,,
"USW00093067","DENVER CENTENNIAL AIRPORT, CO US","2012-03-18","21.70","0.00",,,,"66","40",,,,,,,,
